Condition,RT,Total time
Correct,4.10195088387,918.751342058
Correct,6.12085700035,920.770247936
Correct,8.17214488983,922.821536064
Correct,10.2221729755,924.871563911
Correct,12.2903428078,926.939733982
"Completed, rwd = $0.25",12.2903499603,926.939738035
"Start trial, exp rwd = $0.05",0,933.976483107
Quit,4.06874895096,938.045223951
Traveling,4.06875514984,938.045227051
"Start trial, exp rwd = $0.05",0,943.063904047
Quit,4.05264592171,947.116542101
Traveling,4.05265188217,947.116544962
"Start trial, exp rwd = $0.25",0,952.135456085
Correct,4.06949305534,956.204941988
Correct,6.10420203209,958.239650965
Correct,8.1726000309,960.30804801
Correct,10.2394909859,962.374938965
Correct,12.25715518,964.392604113
"Completed, rwd = $0.25",12.2571640015,964.392609119
"Begin block, ITI = 1",976.480704069,976.48070693
"Start trial, exp rwd = $0.05",0,976.480726004
Quit,4.03642606735,980.517153978
Traveling,4.03643512726,980.517159939
"Start trial, exp rwd = $0.25",0,981.533343077
Correct,4.07058691978,985.603923082
Correct,6.0875108242,987.620846987
Correct,8.15523600578,989.68857193
Correct,10.2223389149,991.755675077
Correct,12.2731277943,993.806464911
"Completed, rwd = $0.25",12.2731359005,993.806468964
"Start trial, exp rwd = $0.05",0,996.841702938
Quit,4.10326290131,1000.94495893
Traveling,4.10327005386,1000.94496202
"Start trial, exp rwd = $0.25",0,1001.96073604
Correct,4.05351400375,1006.01424599
Correct,6.12025117874,1008.08098292
Correct,8.17186808586,1010.13260007
Correct,10.1898531914,1012.15058494
Correct,12.2578210831,1014.21855307
"Completed, rwd = $0.25",12.2578291893,1014.21855807
"Start trial, exp rwd = $0.25",0,1017.25285602
Correct,4.05259299278,1021.30544305
Correct,6.12067890167,1023.37352896
Correct,8.15493798256,1025.40778804
Correct,10.20469594,1027.45754504
Correct,12.2728250027,1029.52567506
"Completed, rwd = $0.25",12.2728340626,1029.52568007
"Start trial, exp rwd = $0.05",0,1032.56031013
Quit,4.10264015198,1036.66294408
Traveling,4.10264706612,1036.66294694
"Start trial, exp rwd = $0.25",0,1037.67895603
Correct,4.10322999954,1041.78218007
Correct,6.13655400276,1043.81550312
Correct,8.17188692093,1045.85083604
Correct,10.2398679256,1047.91881609
Correct,12.2567939758,1049.93574405
"Completed, rwd = $0.25",12.2568018436,1049.9357481
"Start trial, exp rwd = $0.25",0,1052.97006607
Quit,4.0538752079,1057.02393794
Traveling,4.05388116837,1057.02394104
"Start trial, exp rwd = $0.15",0,1058.03896213
Quit,4.06903409958,1062.10798907
Traveling,4.06904006004,1062.10799193
"Start trial, exp rwd = $0.25",0,1063.12635398
Correct,4.06891798973,1067.19526792
Correct,6.08575296402,1069.21210313
Correct,8.12010884285,1071.24645901
Correct,10.1878359318,1073.3141861
Correct,12.2569639683,1075.38331389
"Completed, rwd = $0.25",12.2569708824,1075.38331795
"Start trial, exp rwd = $0.25",0,1078.41735911
Correct,4.10280299187,1082.52015495
Correct,6.13608217239,1084.5534339
Correct,8.20359015465,1086.62094307
Correct,10.2395310402,1088.65688491
Correct,12.2562551498,1090.67360806
"Completed, rwd = $0.25",12.2562630177,1090.67361212
"Start trial, exp rwd = $0.05",0,1093.70793796
Quit,4.10298204422,1097.81091499
Traveling,4.10298800468,1097.8109169
"Start trial, exp rwd = $0.05",0,1098.826617
Quit,4.06896305084,1102.89557409
Traveling,4.06896996498,1102.89557695
"Start trial, exp rwd = $0.15",0,1103.91236901
Quit,4.08684802055,1107.99920893
Traveling,4.08685493469,1107.99921298
"Start trial, exp rwd = $0.25",0,1109.01525593
Correct,4.08730196953,1113.10255408
Correct,6.15357303619,1115.16882491
Correct,8.18817591667,1117.20342803
Correct,10.2058570385,1119.22110891
Correct,12.2406909466,1121.25594306
"Completed, rwd = $0.25",12.2406978607,1121.25594711
"Start trial, exp rwd = $0.15",0,1124.28996992
Quit,4.03598594666,1128.32595301
Traveling,4.03599286079,1128.32595611
"Begin block, ITI = 3",1134.37842703,1134.37843013
"Start trial, exp rwd = $0.15",0,1134.37844706
Correct,4.10282111168,1138.48126912
Correct,6.137789011,1140.51623702
Quit,8.20504903793,1142.58349705
Traveling,8.20505595207,1142.5835011
"Start trial, exp rwd = $0.25",0,1145.60177493
Correct,4.05163216591,1149.65340209
Correct,6.08598899841,1151.68775702
Correct,8.15393304825,1153.75570107
Correct,10.2044069767,1155.80617595
Correct,12.2723460197,1157.87411404
"Completed, rwd = $0.25",12.272354126,1157.87411904
"Start trial, exp rwd = $0.25",0,1162.90976095
Correct,4.1028380394,1167.01259208
Correct,6.12061810493,1169.0303719
Correct,8.1711370945,1171.08089113
Correct,10.2059309483,1173.11568499
Correct,12.2737169266,1175.18347096
"Completed, rwd = $0.25",12.2737240791,1175.18347502
"Start trial, exp rwd = $0.05",0,1180.21931195
Quit,4.05192899704,1184.27123404
Traveling,4.05193591118,1184.2712369
"Start trial, exp rwd = $0.25",0,1187.28914809
Correct,4.102257967,1191.39140201
Correct,6.15357494354,1193.44271898
Correct,8.20407891273,1195.49322295
Correct,10.2223360538,1197.51148105
Correct,12.290323019,1199.57946801
"Completed, rwd = $0.25",12.2903311253,1199.57947206
"Start trial, exp rwd = $0.25",0,1204.61398292
Correct,4.03588795662,1208.64986801
Correct,6.07056093216,1210.68454099
Correct,8.1220510006,1212.73603201
Correct,10.1904850006,1214.80446601
Correct,12.2564001083,1216.87037992
"Completed, rwd = $0.25",12.2564079762,1216.87038493
"Start trial, exp rwd = $0.05",0,1221.90621209
Quit,4.07036519051,1225.97656894
Traveling,4.07037115097,1225.97657204
"Start trial, exp rwd = $0.25",0,1228.99293208
Correct,4.05314612389,1233.0460701
Correct,6.1044549942,1235.09737897
Correct,8.13791203499,1237.13083601
Correct,10.2070879936,1239.20001197
Correct,12.2743611336,1241.26728511
"Completed, rwd = $0.25",12.2743680477,1241.26728892
"Start trial, exp rwd = $0.15",0,1246.30166602
Correct,4.05421280861,1250.35587096
Correct,6.10473895073,1252.4063971
Correct,8.17249488831,1254.47415304
Correct,10.2233729362,1256.52503109
Correct,12.290886879,1258.59254503
"Completed, rwd = $0.15",12.2908940315,1258.59254909
"Start trial, exp rwd = $0.25",0,1263.62816405
Correct,4.05227589607,1267.68043494
Correct,6.08693003654,1269.71508813
Correct,8.12122988701,1271.74938893
Correct,10.1891829967,1273.81734109
Correct,12.2560808659,1275.88423896
"Completed, rwd = $0.25",12.2560889721,1275.88424301
"Start trial, exp rwd = $0.25",0,1280.91929793
Correct,4.05321407318,1284.97250605
Correct,6.12163710594,1287.04092908
Correct,8.15587615967,1289.07516789
Correct,10.1890749931,1291.10836697
Correct,12.2575421333,1293.17683411
"Completed, rwd = $0.25",12.2575490475,1293.17683792
Total reward = $,11.350000000000003
